0.998,0.997,0
0.664,0.776,0.1
0.59,0.711,0.2
0.528,0.659,0.3
0.454,0.598,0.4
0.35,0.545,0.5
0.26,0.424,0.6
0.148,0.31,0.7
0.083,0.183,0.8
0.032,0.08,0.9
0,0.001,1.0
