网球,0.001302467
狙击,0.002110298
RPG,0.008403953
铃声,0.008507498
运动·健身,0.010670515
银行,0.014343349
酒店·住宿,0.024960046
篮球,0.026652642
全部游戏,0.032083132
数学,0.039903191
生活实用工具,0.041336368
相册·图库,0.062250208
足球,0.072793453
连连看,0.095536251
系统工具,0.110121893
壁纸,0.111597681
桌游,0.120298851
在线视频,0.122177385
存储·云盘,0.143361827
视频,0.151441429
修仙,0.154557417
乐器,0.160028917
租车·用车,0.175458854
时钟,0.177855582
武侠,0.187929162
周边游,0.188018366
日历,0.200507698
儿童益智,0.232911977
投资,0.277307837
社区,0.2798735
匿名,0.285243309
跑酷竞速,0.30196482
智力开发,0.30327528
拼图,0.327059201
射击,0.337266848
赛艇,0.387265628
公交·火车·航班,0.392296933
效率,0.415480708
经营策略,0.415740041
婚恋,0.416045311
支付,0.43348325
百科·问答,0.436197214
电话,0.450008382
摩托,0.460799999
新闻阅读,0.470490906
切东西,0.495588933
经营模拟,0.496108466
用药·医疗,0.52469632
历史,0.555255505
策略,0.565366705
动作竞技,0.606059178
DOTA,0.618965837
洗衣,0.641214995
旅游,0.647407168
全部软件,0.654566925
塔防守卫,0.656846491
跑酷,0.718995288
分类信息,0.767557834
飞机,0.770174004
宠物,0.791845245
电子书,0.803128193
旅游出行,0.833249379
识字,0.835062055
动漫,0.844948461
即时战斗,0.950606809
抢滩登陆,0.96859166
快递,0.985158921
表情·头像,1.018158421
电台,1.02710921
坦克,1.03551864
横版,1.067658405
其他球类,1.083155621
天气,1.126354382
麻将,1.135711211
字体,1.169717082
日报·杂志,1.17820169
祖玛,1.205017353
闯关,1.23898066
按摩,1.294999376
输入法,1.494030845
通讯辅助,1.700771573
减压,1.719449197
短信,1.72181804
战棋,1.736400897
笔记,1.770315921
旅行工具·户外,1.796206638
画报,1.805405783
手电筒,1.882664393
生活服务,1.892461146
答题,1.906477584
求职·招聘,1.915185852
搬家,1.948634113
搜索·下载,2.031224975
电影,2.039528927
益智,2.191620579
作业,2.311636195
音乐节奏,2.368167851
其它,2.415738297
邮箱,2.450628515
手工,2.469769558
解谜,2.636778074
家装,2.642014188
电话通讯,2.743832526
安全,2.78531612
飞行,2.931837711
3D,2.934287031
桌面·主题,3.204247588
听书,3.248577515
搞笑,3.362129757
真人视频,3.381187082
做饭,3.427234868
扑克棋牌,3.472996751
找茬,3.692335328
交通票务,3.877897647
街机,3.950098495
理财工具,3.960283629
Wi-Fi,4.118467501
浏览器,4.143753527
锁屏,4.177831545
买房,4.27955768
通讯录,4.376892481
休闲时间,4.589142623
计算器,4.640602049
金融理财,4.716422136
卡牌,4.762977771
攻略,4.783933011
聊天社交,4.785734071
运动健康,4.882311439
魔幻,4.988316196
台球,5.119795556
音乐播放器,5.250276686
三国,5.260276333
回合制,5.388076988
漫画,5.485601891
在线教育,5.585356564
在线音乐,5.796936148
电视·直播,5.972494734
战争,5.977597841
营业厅,6.009116338
优化,6.343720987
方块,6.548011268
综合旅游服务,6.683091092
体育格斗,6.75767053
养成,7.020229482
聊天,7.147446365
效率办公,7.372468326
演出,7.543345432
泡泡龙,8.089089692
赛车,8.3517369
扫码,8.580394527
养车,8.902539157
租房·短租,8.968144018
地图·导航,9.026018753
找阿姨,9.33459283
课程表,9.345368592
餐厅推荐,9.407461241
外卖,9.630761701
网络游戏,9.662296985
代驾,9.710378627
美化手机,9.923505791
角色扮演,10.1436051
动作射击,10.31389043
纸牌,10.82221487
K歌,10.86711351
生鲜配送,11.200319
新闻·资讯,11.29658264
考试·驾考,11.42048773
卡通,11.50442225
办公软件,11.75082922
音乐,12.22772373
传输,12.41225053
经营,13.00063489
文件管理,14.1165419
交通导航,14.57740543
儿童教育,14.77088258
词典·翻译,16.30277031
健康,16.5540445
彩票,17.79442936
育儿社区,17.92967594
交友,18.47574124
美甲·美容,18.74435606
宝石,19.02479241
买车,19.72494703
斗地主,21.98630923
微博,22.49229041
打车,24.68754646
教育培训,24.90726301
棋类,25.96405177
团购·优惠券,26.49380543
德州扑克,26.93612982
商城,30.46807982
美容·美妆,31.89774398
短视频,32.23245148
宝石消除,32.27938986
减肥,32.30275428
购物,33.13919953
记账,36.29272603
root,36.76809512
视频播放器,37.4959244
语言学习·单词,38.07736988
海淘,41.31265719
图片分享,41.65253985
违章查询,50.48474909
拍视频,67.50002596
美食·菜谱,82.61536877
导购,100.8862955
相机,123.5962749
图像,138.2626889
经期·孕期,143.2174006
图片美化·滤镜,152.9572539
丽人母婴,168.2407471
